Iteration,Time,Fitness,Wastage
1,0,28,10035
2,1,28,10035
3,0,28,10035
4,0,28,10035
5,0,28,10035
6,0,28,10035
7,0,28,10035
8,0,28,10035
9,0,28,10035
10,2,28,10035
11,0,28,10035
12,0,28,10035
13,0,28,10035
14,0,28,10035
15,0,28,10035
16,0,28,10035
17,1,28,10035
18,0,28,10035
19,0,28,10035
20,0,28,10035
21,0,28,10035
22,0,28,10035
23,0,28,10035
24,0,28,10035
25,0,28,10035
26,0,28,10035
27,0,28,10035
28,0,28,10035
29,0,28,10035
30,0,28,10035
31,0,28,10035
32,0,28,10035
33,1,28,10035
34,0,28,10035
35,0,28,10035
36,0,28,10035
37,0,28,10035
38,0,28,10035
39,0,28,10035
40,1,28,10035
41,0,28,10035
42,0,28,10035
43,0,28,10035
44,0,28,10035
45,0,28,10035
46,0,28,10035
47,0,28,10035
48,0,28,10035
49,1,28,10035
50,0,28,10035
51,0,28,10035
52,0,28,10035
53,0,28,10035
54,0,28,10035
55,0,28,10035
56,0,28,10035
57,1,28,10035
58,0,28,10035
59,0,28,10035
60,0,28,10035
61,0,28,10035
62,0,28,10035
63,0,28,10035
64,0,28,10035
65,1,28,10035
66,0,28,10035
67,0,28,10035
68,0,28,10035
69,0,28,10035
70,0,28,10035
71,0,28,10035
72,0,28,10035
73,0,28,10035
74,0,28,10035
75,0,28,10035
76,1,28,10035
77,0,28,10035
78,0,28,10035
79,0,28,10035
80,0,28,10035
81,0,28,10035
82,0,28,10035
83,0,28,10035
84,0,28,10035
85,0,28,10035
86,0,28,10035
87,1,28,10035
88,0,28,10035
89,0,28,10035
90,0,28,10035
91,0,28,10035
92,0,28,10035
93,0,28,10035
94,0,28,10035
95,2,28,10035
96,0,28,10035
97,0,28,10035
98,0,28,10035
99,0,28,10035
100,0,28,10035
