Iteration,Time,Fitness,Wastage
1,0,25,10297
2,0,25,10297
3,0,25,10297
4,1,25,10297
5,0,25,10297
6,0,25,10297
7,0,25,10297
8,0,25,10297
9,0,25,10297
10,0,25,10297
11,0,25,10297
12,0,25,10297
13,0,25,10297
14,0,25,10297
15,0,25,10297
16,0,25,10297
17,0,25,10297
18,1,25,10297
19,0,25,10297
20,0,25,10297
21,0,25,10297
22,0,25,10297
23,0,25,10297
24,0,25,10297
25,0,25,10297
26,0,25,10297
27,0,25,10297
28,0,25,10297
29,0,25,10297
30,0,25,10297
31,0,25,10297
32,0,25,10297
33,0,25,10297
34,1,25,10297
35,0,25,10297
36,0,25,10297
37,0,25,10297
38,0,25,10297
39,0,25,10297
40,0,25,10297
41,0,25,10297
42,0,25,10297
43,0,25,10297
44,0,25,10297
45,0,25,10297
46,0,25,10297
47,0,25,10297
48,0,25,10297
49,0,25,10297
50,1,25,10297
51,0,25,10297
52,0,25,10297
53,0,25,10297
54,0,25,10297
55,0,25,10297
56,0,25,10297
57,0,25,10297
58,0,25,10297
59,0,25,10297
60,0,25,10297
61,0,25,10297
62,0,25,10297
63,0,25,10297
64,0,25,10297
65,0,25,10297
66,1,25,10297
67,0,25,10297
68,0,25,10297
69,0,25,10297
70,0,25,10297
71,0,25,10297
72,0,25,10297
73,0,25,10297
74,0,25,10297
75,0,25,10297
76,0,25,10297
77,0,25,10297
78,0,25,10297
79,0,25,10297
80,0,25,10297
81,0,25,10297
82,0,25,10297
83,1,25,10297
84,0,25,10297
85,0,25,10297
86,0,25,10297
87,0,25,10297
88,0,25,10297
89,0,25,10297
90,0,25,10297
91,0,25,10297
92,0,25,10297
93,0,25,10297
94,0,25,10297
95,0,25,10297
96,0,25,10297
97,0,25,10297
98,1,25,10297
99,0,25,10297
100,0,25,10297
