Iteration,Time,Fitness,Wastage
1,4654,11,60
2,4172,11,60
3,4369,11,60
4,4332,11,60
5,4142,11,60
6,4291,11,60
7,4183,11,60
8,4438,11,60
9,4652,11,60
10,4219,11,60
11,4178,11,60
12,4183,11,60
13,4273,11,60
14,4154,11,60
15,4209,11,60
16,4259,11,60
17,4371,11,60
18,4217,11,60
19,4233,11,60
20,4247,11,60
21,4213,11,60
22,4226,11,60
23,4264,11,60
24,4221,11,60
25,4206,11,60
26,4277,11,60
27,4228,11,60
28,4240,11,60
29,4212,11,60
30,4202,11,60
31,4188,11,60
32,4199,11,60
33,4135,11,60
34,4102,11,60
35,4133,11,60
36,4145,11,60
37,4458,11,60
38,4314,11,60
39,4260,11,60
40,4193,11,60
41,4232,11,60
42,4321,11,60
43,4152,11,60
44,4211,11,60
45,4258,11,60
46,4240,11,60
47,4275,11,60
48,4217,11,60
49,4529,11,60
50,4405,11,60
51,4357,11,60
52,4287,11,60
53,4223,11,60
54,4271,11,60
55,4271,11,60
56,4294,11,60
57,4235,11,60
58,4185,11,60
59,4431,11,60
60,4222,11,60
61,4222,11,60
62,4234,11,60
63,4274,11,60
64,4265,11,60
65,4241,11,60
66,4274,11,60
67,4210,11,60
68,4298,11,60
69,4240,11,60
70,4265,11,60
71,4369,11,60
72,4177,11,60
73,4293,11,60
74,4264,11,60
75,4265,11,60
76,4354,11,60
77,4155,11,60
78,4211,11,60
79,4196,11,60
80,4391,11,60
81,4330,11,60
82,4716,11,60
83,4379,11,60
84,4224,11,60
85,4176,11,60
86,4097,11,60
87,4293,11,60
88,4157,11,60
89,4162,11,60
90,4150,11,60
91,4035,11,60
92,4161,11,60
93,4194,11,60
94,4292,11,60
95,4210,11,60
96,4348,11,60
97,4384,11,60
98,4257,11,60
99,4306,11,60
100,4351,11,60
