Iteration,Time,Fitness,Wastage
1,0,15,10011
2,0,15,10011
3,5,15,10011
4,0,15,10011
5,0,15,10011
6,0,15,10011
7,0,15,10011
8,0,15,10011
9,0,15,10011
10,0,15,10011
11,0,15,10011
12,0,15,10011
13,0,15,10011
14,0,15,10011
15,0,15,10011
16,0,15,10011
17,0,15,10011
18,0,15,10011
19,0,15,10011
20,0,15,10011
21,0,15,10011
22,0,15,10011
23,0,15,10011
24,0,15,10011
25,0,15,10011
26,0,15,10011
27,0,15,10011
28,0,15,10011
29,0,15,10011
30,0,15,10011
31,0,15,10011
32,0,15,10011
33,0,15,10011
34,0,15,10011
35,0,15,10011
36,0,15,10011
37,0,15,10011
38,0,15,10011
39,0,15,10011
40,0,15,10011
41,0,15,10011
42,0,15,10011
43,0,15,10011
44,0,15,10011
45,0,15,10011
46,0,15,10011
47,0,15,10011
48,0,15,10011
49,0,15,10011
50,0,15,10011
51,0,15,10011
52,0,15,10011
53,0,15,10011
54,0,15,10011
55,0,15,10011
56,0,15,10011
57,0,15,10011
58,0,15,10011
59,0,15,10011
60,0,15,10011
61,0,15,10011
62,0,15,10011
63,0,15,10011
64,0,15,10011
65,0,15,10011
66,0,15,10011
67,0,15,10011
68,0,15,10011
69,0,15,10011
70,0,15,10011
71,0,15,10011
72,0,15,10011
73,0,15,10011
74,0,15,10011
75,0,15,10011
76,0,15,10011
77,0,15,10011
78,0,15,10011
79,0,15,10011
80,16,15,10011
81,0,15,10011
82,0,15,10011
83,0,15,10011
84,0,15,10011
85,0,15,10011
86,0,15,10011
87,0,15,10011
88,0,15,10011
89,0,15,10011
90,0,15,10011
91,0,15,10011
92,0,15,10011
93,0,15,10011
94,0,15,10011
95,0,15,10011
96,0,15,10011
97,0,15,10011
98,0,15,10011
99,0,15,10011
100,0,15,10011
