Iteration,Time,Fitness,Wastage
1,1655,25,10297
2,1649,25,10297
3,1629,25,10297
4,1627,25,10297
5,1645,25,10297
6,1650,25,10297
7,1670,25,10297
8,1653,25,10297
9,1635,25,10297
10,1706,25,10297
11,1690,25,10297
12,1634,25,10297
13,1662,25,10297
14,1666,25,10297
15,1632,25,10297
16,1622,25,10297
17,1625,25,10297
18,1704,25,10297
19,1626,25,10297
20,1676,25,10297
21,1683,25,10297
22,1679,25,10297
23,1643,25,10297
24,1617,25,10297
25,1767,25,10297
26,1654,25,10297
27,1644,25,10297
28,1689,25,10297
29,1672,25,10297
30,1924,25,10297
31,1823,25,10297
32,1732,25,10297
33,1616,25,10297
34,1607,25,10297
35,1579,25,10297
36,1668,25,10297
37,1647,25,10297
38,1675,25,10297
39,1639,25,10297
40,1640,25,10297
41,1580,25,10297
42,1634,25,10297
43,1581,25,10297
44,1641,25,10297
45,1622,25,10297
46,1606,25,10297
47,1646,25,10297
48,1709,25,10297
49,1589,25,10297
50,1625,25,10297
51,1685,25,10297
52,1609,25,10297
53,1566,25,10297
54,1570,25,10297
55,1645,25,10297
56,1612,25,10297
57,1710,25,10297
58,1613,25,10297
59,1708,25,10297
60,1631,25,10297
61,1637,25,10297
62,1610,25,10297
63,1602,25,10297
64,1616,25,10297
65,1587,25,10297
66,1562,25,10297
67,1600,25,10297
68,1587,25,10297
69,1596,25,10297
70,1589,25,10297
71,1601,25,10297
72,1597,25,10297
73,1697,25,10297
74,1640,25,10297
75,1612,25,10297
76,1569,25,10297
77,1580,25,10297
78,1558,25,10297
79,1568,25,10297
80,1633,25,10297
81,1601,25,10297
82,1639,25,10297
83,1610,25,10297
84,1575,25,10297
85,1591,25,10297
86,1591,25,10297
87,1598,25,10297
88,1576,25,10297
89,1598,25,10297
90,1586,25,10297
91,1572,25,10297
92,1598,25,10297
93,1582,25,10297
94,1682,25,10297
95,1626,25,10297
96,1580,25,10297
97,1552,25,10297
98,1557,25,10297
99,1572,25,10297
100,1586,25,10297
