Iteration,Time,Fitness,Wastage
1,14,25,10297
2,20,25,10297
3,26,25,10297
4,32,25,10297
5,36,25,10297
6,44,25,10297
7,53,25,10297
8,57,25,10297
9,65,25,10297
10,68,25,10297
11,74,25,10297
12,80,25,10297
13,86,25,10297
14,93,25,10297
15,102,25,10297
16,109,25,10297
17,113,25,10297
18,118,25,10297
19,126,25,10297
20,132,25,10297
21,143,25,10297
22,146,25,10297
23,154,25,10297
24,161,25,10297
25,161,25,10297
26,177,25,10297
27,173,25,10297
28,184,25,10297
29,183,25,10297
30,191,25,10297
31,193,25,10297
32,223,25,10297
33,237,25,10297
34,225,25,10297
35,226,25,10297
36,236,25,10297
37,236,25,10297
38,240,25,10297
39,250,25,10297
40,257,25,10297
41,263,25,10297
42,267,25,10297
43,276,25,10297
44,282,25,10297
45,284,25,10297
46,293,25,10297
47,297,25,10297
48,307,25,10297
49,308,25,10297
50,317,25,10297
51,323,25,10297
52,330,25,10297
53,337,25,10297
54,346,25,10297
55,347,25,10297
56,352,25,10297
57,360,25,10297
58,366,25,10297
59,371,25,10297
60,381,25,10297
61,385,25,10297
62,395,25,10297
63,393,25,10297
64,400,25,10297
65,409,25,10297
66,417,25,10297
67,420,25,10297
68,426,25,10297
69,435,25,10297
70,441,25,10297
71,450,26,20297
72,453,25,10297
73,460,25,10297
74,462,25,10297
75,472,25,10297
76,475,25,10297
77,478,25,10297
78,490,25,10297
79,493,25,10297
80,501,25,10297
81,508,25,10297
82,515,25,10297
83,518,25,10297
84,528,25,10297
85,528,25,10297
86,536,25,10297
87,547,25,10297
88,549,25,10297
89,560,25,10297
90,560,25,10297
91,568,25,10297
92,579,25,10297
93,577,25,10297
94,608,25,10297
95,595,25,10297
96,600,25,10297
97,608,25,10297
98,611,25,10297
99,621,25,10297
100,624,25,10297
