Iteration,Time,Fitness,Wastage
1,21,24,10029
2,25,24,10029
3,35,24,10029
4,39,24,10029
5,48,24,10029
6,54,24,10029
7,67,24,10029
8,72,24,10029
9,79,24,10029
10,95,24,10029
11,97,24,10029
12,108,24,10029
13,110,24,10029
14,124,24,10029
15,130,24,10029
16,137,24,10029
17,141,24,10029
18,148,24,10029
19,166,24,10029
20,162,24,10029
21,178,24,10029
22,196,24,10029
23,210,24,10029
24,196,24,10029
25,204,24,10029
26,217,24,10029
27,214,24,10029
28,230,24,10029
29,242,24,10029
30,244,24,10029
31,245,24,10029
32,252,24,10029
33,260,24,10029
34,267,24,10029
35,278,24,10029
36,282,24,10029
37,289,24,10029
38,300,24,10029
39,302,24,10029
40,315,24,10029
41,320,24,10029
42,326,24,10029
43,334,24,10029
44,351,24,10029
45,358,24,10029
46,363,24,10029
47,380,24,10029
48,391,24,10029
49,384,24,10029
50,393,24,10029
51,401,24,10029
52,413,24,10029
53,415,24,10029
54,431,24,10029
55,429,24,10029
56,435,24,10029
57,452,24,10029
58,457,24,10029
59,465,24,10029
60,473,24,10029
61,477,24,10029
62,490,24,10029
63,493,24,10029
64,552,24,10029
65,518,24,10029
66,516,24,10029
67,523,24,10029
68,528,24,10029
69,533,24,10029
70,549,24,10029
71,568,24,10029
72,581,24,10029
73,563,24,10029
74,574,24,10029
75,583,24,10029
76,587,24,10029
77,596,24,10029
78,603,24,10029
79,612,24,10029
80,619,24,10029
81,642,24,10029
82,647,24,10029
83,644,24,10029
84,650,24,10029
85,671,24,10029
86,685,24,10029
87,683,24,10029
88,680,25,20029
89,689,24,10029
90,700,24,10029
91,703,24,10029
92,707,24,10029
93,721,24,10029
94,728,24,10029
95,731,24,10029
96,742,24,10029
97,780,25,20029
98,757,24,10029
99,766,24,10029
100,769,24,10029
