Iteration,Time,Fitness,Wastage
1,5165,14,11
2,5241,14,11
3,5274,14,11
4,5180,15,10011
5,5205,14,11
6,5204,14,11
7,6336,14,11
8,5415,14,11
9,5336,14,11
10,5289,14,11
11,5280,14,11
12,5268,15,10011
13,5267,14,11
14,5314,14,11
15,5350,14,11
16,5408,14,11
17,5353,14,11
18,5461,14,11
19,5435,14,11
20,5443,14,11
21,5544,14,11
22,5493,15,10011
23,5532,14,11
24,5399,14,11
25,5524,14,11
26,5492,14,11
27,5650,14,11
28,5411,14,11
29,5789,15,10011
30,5510,14,11
31,5521,14,11
32,5313,14,11
33,5429,15,10011
34,5397,14,11
35,5456,14,11
36,5405,14,11
37,5328,14,11
38,5315,14,11
39,5238,14,11
40,5295,14,11
41,5307,15,10011
42,5548,14,11
43,5380,14,11
44,5380,14,11
45,5234,14,11
46,5282,14,11
47,5851,14,11
48,5492,14,11
49,5267,14,11
50,5314,14,11
51,5297,14,11
52,5369,15,10011
53,5334,14,11
54,5281,14,11
55,5269,14,11
56,5324,14,11
57,5267,14,11
58,5292,14,11
59,5317,15,10011
60,5267,14,11
61,5264,14,11
62,5169,15,10011
63,5259,14,11
64,5200,14,11
65,5189,14,11
66,5155,14,11
67,5185,15,10011
68,5223,15,10011
69,5241,15,10011
70,5168,14,11
71,5159,14,11
72,5281,15,10011
73,5460,15,10011
74,5714,14,11
75,5279,15,10011
76,5234,14,11
77,5231,14,11
78,5141,14,11
79,5156,14,11
80,5143,15,10011
81,5124,14,11
82,5111,14,11
83,5140,14,11
84,5098,14,11
85,5037,14,11
86,5171,14,11
87,5089,14,11
88,5105,14,11
89,5072,14,11
90,5101,14,11
91,5121,15,10011
92,5113,14,11
93,5064,14,11
94,5070,14,11
95,5120,14,11
96,5145,14,11
97,5108,14,11
98,5069,14,11
99,5118,15,10011
100,5080,14,11
